model	train-spearman_corr	train-spearman_pvalue	train-pearson_corr	train-pearson_pvalue	train-f1_score	train-f1_scores_label1	train-f1_scores_label0	test.iov-spearman_corr	test.iov-spearman_pvalue	test.iov-pearson_corr	test.iov-pearson_pvalue	test.iov-f1_score	test.iov-f1_scores_label1	test.iov-f1_scores_label0	test.oov-spearman_corr	test.oov-spearman_pvalue	test.oov-pearson_corr	test.oov-pearson_pvalue	test.oov-f1_score	test.oov-f1_scores_label1	test.oov-f1_scores_label0	dev-spearman_corr	dev-spearman_pvalue	dev-pearson_corr	dev-pearson_pvalue	dev-f1_score	dev-f1_scores_label1	dev-f1_scores_label0	thr
paraphrase-multilingual-mpnet-base-v2	0.498	0.0	0.502	0.0	0.5428333402696701	0.4601113172541744	0.6564344746162928	0.541	0.0	0.542	0.0	0.5676456914675357	0.4621072088724583	0.692063492063492	0.636	0.0	0.643	0.0	0.6617137076973724	0.6035889070146819	0.726042841037204	0.445	0.0	0.461	0.0	0.5463864754730207	0.4065573770491803	0.6930469191633691	0.516
paraphrase-multilingual-mpnet-base-v2_mask	0.643	0.0	0.641	0.0	0.7410026381557772	0.7023455566567558	0.7691519344094286	0.687	0.0	0.674	0.0	0.7687830880545892	0.7528735632183907	0.7822784810126582	0.79	0.0	0.781	0.0	0.8089692048609531	0.7779527559055118	0.8369942196531791	0.667	0.0	0.673	0.0	0.752241656184398	0.7389937106918238	0.764872521246459	0.516
paraphrase-albert-small-v2	0.441	0.0	0.456	0.0	0.49503878737109575	0.38828125	0.6416475972540047	0.492	0.0	0.516	0.0	0.49967879524151376	0.3545816733067729	0.6707317073170732	0.573	0.0	0.579	0.0	0.5975487394424336	0.4935543278084715	0.7126436781609196	0.443	0.0	0.457	0.0	0.48588572390080925	0.2950423216444982	0.686052773290253	0.629
paraphrase-albert-small-v2_mask	0.596	0.0	0.599	0.0	0.7128840997041643	0.6894197952218429	0.7299703264094956	0.656	0.0	0.649	0.0	0.7405519823377195	0.7352537722908093	0.7450462351387054	0.741	0.0	0.732	0.0	0.7882405021758238	0.7655786350148367	0.8087167070217918	0.624	0.0	0.636	0.0	0.7302192029019569	0.7314540059347181	0.7290419161676648	0.629
paraphrase-multilingual-MiniLM-L12-v2	0.507	0.0	0.51	0.0	0.5301692916301848	0.4422788605697151	0.6508681370248709	0.547	0.0	0.554	0.0	0.5299143079387337	0.40684410646387836	0.675	0.617	0.0	0.619	0.0	0.6417231157363606	0.5761589403973509	0.7142857142857142	0.492	0.0	0.5	0.0	0.5547115820481465	0.4120267260579064	0.7043673012318029	0.571
paraphrase-multilingual-MiniLM-L12-v2_mask	0.626	0.0	0.621	0.0	0.7235065165909828	0.6955148452305749	0.7438894792773645	0.688	0.0	0.679	0.0	0.7500028978600913	0.743801652892562	0.7552631578947369	0.765	0.0	0.759	0.0	0.8023958209741082	0.7776096822995462	0.8247914183551848	0.659	0.0	0.661	0.0	0.7481723545594218	0.7454819277108434	0.7507374631268436	0.571
paraphrase-MiniLM-L3-v2	0.448	0.0	0.457	0.0	0.46872222442213274	0.3453587353060398	0.6381357831055344	0.468	0.0	0.482	0.0	0.476331048493255	0.31771894093686354	0.6633165829145728	0.533	0.0	0.535	0.0	0.49615365342663986	0.3319672131147541	0.6778656126482213	0.402	0.0	0.42	0.0	0.4790219017568013	0.28674698795180725	0.6806903991370011	0.648
paraphrase-MiniLM-L3-v2_mask	0.602	0.0	0.608	0.0	0.7197458271525146	0.6822916666666667	0.7470191809227579	0.657	0.0	0.652	0.0	0.7473727129643621	0.7388888888888889	0.7545691906005222	0.752	0.0	0.749	0.0	0.7976633894500561	0.7762962962962964	0.816969696969697	0.621	0.0	0.628	0.0	0.7372842596915282	0.7228346456692913	0.7510608203677511	0.648
distiluse-base-multilingual-cased-v1	0.476	0.0	0.482	0.0	0.42297871804143294	0.2740425531914894	0.6275109170305677	0.498	0.0	0.519	0.0	0.4463085440229046	0.2643923240938166	0.6607669616519174	0.622	0.0	0.618	0.0	0.39460576025281907	0.15384615384615385	0.6610644257703081	0.492	0.0	0.503	0.0	0.4133927798519967	0.1646746347941567	0.6742620403935785	0.722
distiluse-base-multilingual-cased-v1_mask	0.597	0.0	0.604	0.0	0.728539887021281	0.6867949568679496	0.7589376915219612	0.652	0.0	0.653	0.0	0.7433068372951634	0.7275320970042796	0.756687898089172	0.73	0.0	0.721	0.0	0.7972002436424549	0.7840909090909092	0.8090452261306533	0.646	0.0	0.651	0.0	0.7585773469567911	0.753048780487805	0.7638483965014577	0.722
