model	k_fold	train-spearman_corr	train-spearman_pvalue	train-pearson_corr	train-pearson_pvalue	train-f1_score	train-f1_scores_label1	train-f1_scores_label0	train-recall_label1	train-recall_label0	train-precision_label1	train-precision_label0	test-spearman_corr	test-spearman_pvalue	test-pearson_corr	test-pearson_pvalue	test-f1_score	test-f1_scores_label1	test-f1_scores_label0	test-recall_label1	test-recall_label0	test-precision_label1	test-precision_label0	test.iov-spearman_corr	test.iov-spearman_pvalue	test.iov-pearson_corr	test.iov-pearson_pvalue	test.iov-f1_score	test.iov-f1_scores_label1	test.iov-f1_scores_label0	test.iov-recall_label1	test.iov-recall_label0	test.iov-precision_label1	test.iov-precision_label0	test.oov-spearman_corr	test.oov-spearman_pvalue	test.oov-pearson_corr	test.oov-pearson_pvalue	test.oov-f1_score	test.oov-f1_scores_label1	test.oov-f1_scores_label0	test.oov-recall_label1	test.oov-recall_label0	test.oov-precision_label1	test.oov-precision_label0	dev-spearman_corr	dev-spearman_pvalue	dev-pearson_corr	dev-pearson_pvalue	dev-f1_score	dev-f1_scores_label1	dev-f1_scores_label0	dev-recall_label1	dev-recall_label0	dev-precision_label1	dev-precision_label0	dev.iov-spearman_corr	dev.iov-spearman_pvalue	dev.iov-pearson_corr	dev.iov-pearson_pvalue	dev.iov-f1_score	dev.iov-f1_scores_label1	dev.iov-f1_scores_label0	dev.iov-recall_label1	dev.iov-recall_label0	dev.iov-precision_label1	dev.iov-precision_label0	dev.oov-spearman_corr	dev.oov-spearman_pvalue	dev.oov-pearson_corr	dev.oov-pearson_pvalue	dev.oov-f1_score	dev.oov-f1_scores_label1	dev.oov-f1_scores_label0	dev.oov-recall_label1	dev.oov-recall_label0	dev.oov-precision_label1	dev.oov-precision_label0	thr
distiluse-base-multilingual-cased-v1	4	0.565	0.0	0.568	0.0	0.54115821183826	0.5696908261530664	0.5283333333333334	0.9606837606837607	0.36534767575873994	0.4048991354466859	0.9538615847542627	0.636	0.0	0.622	0.0	0.6251140954824297	0.6571428571428573	0.6074766355140186	0.9877300613496932	0.4391891891891892	0.4923547400611621	0.9848484848484849	0.611	0.0	0.602	0.0	0.5840732725643212	0.5739130434782609	0.5882352941176471	0.9705882352941176	0.42168674698795183	0.4074074074074074	0.9722222222222222	0.707	0.0	0.679	0.0	0.6734592892487629	0.7307692307692308	0.631578947368421	1.0	0.46153846153846156	0.5757575757575758	1.0	0.482	0.0	0.464	0.0	0.35304351784245697	0.39103869653767825	0.3428571428571429	0.96	0.20911528150134048	0.24552429667519182	0.9512195121951219	0.575	0.0	0.582	0.0	0.5146531930959338	0.5691699604743082	0.48826291079812206	0.9473684210526315	0.33121019108280253	0.4067796610169492	0.9285714285714286	0.514	0.0	0.501	0.0	0.21355649697895687	0.20168067226890757	0.21487603305785122	1.0	0.12037037037037036	0.11214953271028037	1.0	0.612
distiluse-base-multilingual-cased-v1_mask	4	0.644	0.0	0.664	0.0	0.8037428310419633	0.6493765586034912	0.8731275942970583	0.5564102564102564	0.9293123319247023	0.7796407185628742	0.8233492171545269	0.725	0.0	0.719	0.0	0.7959175228273208	0.6830985915492958	0.8580441640378549	0.5950920245398773	0.918918918918919	0.8016528925619835	0.8047337278106509	0.727	0.0	0.725	0.0	0.8266322763364182	0.6923076923076922	0.8816568047337278	0.6617647058823529	0.8975903614457831	0.7258064516129032	0.8662790697674418	0.723	0.0	0.707	0.0	0.7653172653172653	0.6753246753246753	0.831081081081081	0.5473684210526316	0.9461538461538461	0.8813559322033898	0.7409638554216867	0.571	0.0	0.616	0.0	0.8608475085278496	0.6559139784946236	0.9157894736842105	0.61	0.9329758713136729	0.7093023255813954	0.8992248062015504	0.632	0.0	0.665	0.0	0.8405393930567067	0.7244094488188977	0.896755162241888	0.6052631578947368	0.9681528662420382	0.9019607843137255	0.8351648351648352	0.51	0.0	0.555	0.0	0.8888522082209429	0.5084745762711864	0.9311163895486936	0.625	0.9074074074074074	0.42857142857142855	0.9560975609756097	0.612
distiluse-base-multilingual-cased-v2	4	0.562	0.0	0.565	0.0	0.5760418572713901	0.5822187254130605	0.5732654701312617	0.9487179487179487	0.4110641567422205	0.4199772985244041	0.9469026548672567	0.644	0.0	0.632	0.0	0.6463385675987401	0.6581740976645436	0.639821029082774	0.950920245398773	0.4831081081081081	0.5032467532467533	0.9470198675496688	0.612	0.0	0.601	0.0	0.5963490061850717	0.5714285714285713	0.6065573770491803	0.9411764705882353	0.4457831325301205	0.41025641025641024	0.9487179487179487	0.741	0.0	0.714	0.0	0.7038861521620141	0.7368421052631579	0.6798029556650246	0.9578947368421052	0.5307692307692308	0.5986842105263158	0.9452054794520548	0.498	0.0	0.475	0.0	0.4199857422587791	0.4102564102564102	0.4225941422594142	0.96	0.2707774798927614	0.2608695652173913	0.9619047619047619	0.557	0.0	0.57	0.0	0.5575890838342601	0.5877551020408163	0.5429864253393666	0.9473684210526315	0.3821656050955414	0.4260355029585799	0.9375	0.558	0.0	0.542	0.0	0.30868419675106	0.21524663677130043	0.31906614785992216	1.0	0.18981481481481483	0.12060301507537688	1.0	0.58
distiluse-base-multilingual-cased-v2_mask	4	0.649	0.0	0.67	0.0	0.7921791721375337	0.6131621187800963	0.8726440021137926	0.4897435897435897	0.9515943142527853	0.8197424892703863	0.8057905009759271	0.735	0.0	0.732	0.0	0.7841765984444332	0.6461538461538462	0.8601823708206686	0.5153374233128835	0.956081081081081	0.865979381443299	0.7817679558011049	0.729	0.0	0.731	0.0	0.8293967426170816	0.6779661016949153	0.8914285714285715	0.5882352941176471	0.9397590361445783	0.8	0.8478260869565217	0.749	0.0	0.733	0.0	0.7381379184196085	0.6197183098591549	0.8246753246753247	0.4631578947368421	0.9769230769230769	0.9361702127659575	0.7134831460674157	0.57	0.0	0.614	0.0	0.8582697896128781	0.6404494382022471	0.9166666666666665	0.57	0.9436997319034852	0.7307692307692307	0.8911392405063291	0.629	0.0	0.662	0.0	0.8239692944062019	0.6885245901639344	0.8895348837209301	0.5526315789473685	0.9745222929936306	0.9130434782608695	0.8181818181818182	0.522	0.0	0.566	0.0	0.8983827493261456	0.5357142857142857	0.9386792452830189	0.625	0.9212962962962963	0.46875	0.9567307692307693	0.58
multi-qa-MiniLM-L6-dot-v1	4	0.477	0.0	0.482	0.0	0.6962791691158158	0.5804171085189113	0.7483570065719736	0.7017094017094017	0.6780637725701114	0.4948764315852923	0.8349101229895932	0.501	0.0	0.481	0.0	0.7344368012286546	0.6392961876832846	0.7868284228769498	0.6687116564417178	0.7668918918918919	0.6123595505617978	0.8078291814946619	0.501	0.0	0.468	0.0	0.7018307362384956	0.5780346820809249	0.7525423728813558	0.7352941176470589	0.6686746987951807	0.47619047619047616	0.8604651162790697	0.57	0.0	0.57	0.0	0.7718957559383092	0.7023809523809524	0.822695035460993	0.6210526315789474	0.8923076923076924	0.8082191780821918	0.7631578947368421	0.393	0.0	0.407	0.0	0.6170958172318244	0.4198250728862974	0.6699834162520729	0.72	0.5415549597855228	0.2962962962962963	0.8782608695652174	0.431	0.0	0.47	0.0	0.6538866753289436	0.5363128491620112	0.710801393728223	0.631578947368421	0.6496815286624203	0.46601941747572817	0.7846153846153846	0.452	0.0	0.47	0.0	0.5988885458474837	0.2926829268292683	0.6329113924050632	1.0	0.46296296296296297	0.17142857142857143	1.0	0.242
multi-qa-MiniLM-L6-dot-v1_mask	4	0.535	0.0	0.55	0.0	0.7409345605805845	0.49681528662420377	0.8506616257088847	0.36666666666666664	0.9508259700345755	0.770197486535009	0.769589552238806	0.56	0.0	0.56	0.0	0.6949087427243601	0.4700854700854701	0.8187134502923976	0.3374233128834356	0.9459459459459459	0.7746478873239436	0.7216494845360825	0.552	0.0	0.531	0.0	0.7273323408004947	0.45283018867924524	0.839779005524862	0.35294117647058826	0.9156626506024096	0.631578947368421	0.7755102040816326	0.584	0.0	0.6	0.0	0.6638651656314699	0.48437499999999994	0.7950310559006212	0.3263157894736842	0.9846153846153847	0.9393939393939394	0.6666666666666666	0.471	0.0	0.505	0.0	0.8087543379606295	0.49079754601227	0.8939974457215836	0.4	0.938337801608579	0.6349206349206349	0.8536585365853658	0.512	0.0	0.526	0.0	0.7218440079106808	0.47706422018348627	0.8403361344537814	0.34210526315789475	0.9554140127388535	0.7878787878787878	0.75	0.449	0.0	0.527	0.0	0.8969222743870632	0.5185185185185186	0.9389671361502347	0.5833333333333334	0.9259259259259259	0.4666666666666667	0.9523809523809523	0.242
multi-qa-distilbert-dot-v1	4	0.527	0.0	0.531	0.0	0.6753316459185027	0.6069990709197894	0.7060458651841556	0.8376068376068376	0.5854782942758355	0.4759592034968431	0.8891481913652275	0.448	0.0	0.44	0.0	0.6712311504122347	0.6225490196078433	0.6980392156862745	0.7791411042944786	0.6013513513513513	0.5183673469387755	0.8317757009345794	0.512	0.0	0.505	0.0	0.6681046065328071	0.592964824120603	0.6988847583643124	0.8676470588235294	0.5662650602409639	0.45038167938931295	0.912621359223301	0.394	0.0	0.386	0.0	0.677513726476382	0.6507177033492823	0.6970954356846473	0.7157894736842105	0.6461538461538462	0.5964912280701754	0.7567567567567568	0.476	0.0	0.491	0.0	0.6022782810349145	0.4631578947368421	0.6395759717314488	0.88	0.48525469168900803	0.3142857142857143	0.9378238341968912	0.53	0.0	0.555	0.0	0.695918254705902	0.6368159203980099	0.7245283018867925	0.8421052631578947	0.6114649681528662	0.512	0.8888888888888888	0.5	0.0	0.514	0.0	0.5351212902986321	0.26815642458100564	0.5647840531561462	1.0	0.39351851851851855	0.15483870967741936	1.0	0.481
multi-qa-distilbert-dot-v1_mask	4	0.622	0.0	0.638	0.0	0.771247212856128	0.5617597292724196	0.8654079334834576	0.4256410256410256	0.9596619285439877	0.8258706467661692	0.78801261829653	0.635	0.0	0.623	0.0	0.683487541112657	0.4343891402714932	0.8206599713055953	0.294478527607362	0.9662162162162162	0.8275862068965517	0.713216957605985	0.638	0.0	0.628	0.0	0.7510625379477839	0.49019607843137264	0.8579234972677596	0.36764705882352944	0.9457831325301205	0.7352941176470589	0.785	0.629	0.0	0.627	0.0	0.6135644187181419	0.3865546218487395	0.7794561933534744	0.24210526315789474	0.9923076923076923	0.9583333333333334	0.6417910447761194	0.547	0.0	0.585	0.0	0.8258453743293306	0.5256410256410257	0.9063291139240506	0.41	0.9597855227882037	0.7321428571428571	0.8585131894484412	0.584	0.0	0.609	0.0	0.7436578330128474	0.5225225225225226	0.8507042253521128	0.3815789473684211	0.9617834394904459	0.8285714285714286	0.7626262626262627	0.519	0.0	0.581	0.0	0.9098850574712645	0.5333333333333333	0.9517241379310345	0.5	0.9583333333333334	0.5714285714285714	0.9452054794520548	0.481
multi-qa-mpnet-base-dot-v1	4	0.519	0.0	0.514	0.0	0.708326744020416	0.614762386248736	0.750382179515178	0.7794871794871795	0.6600076834421821	0.5075125208681135	0.8694331983805668	0.472	0.0	0.459	0.0	0.6991091708072132	0.6259946949602122	0.7393715341959334	0.7239263803680982	0.6756756756756757	0.5514018691588785	0.8163265306122449	0.476	0.0	0.465	0.0	0.6900997150997151	0.5777777777777777	0.7361111111111112	0.7647058823529411	0.6385542168674698	0.4642857142857143	0.8688524590163934	0.484	0.0	0.486	0.0	0.7122471682171528	0.6700507614213198	0.7430830039525692	0.6947368421052632	0.7230769230769231	0.6470588235294118	0.7642276422764228	0.483	0.0	0.47	0.0	0.6554392473411836	0.48115942028985514	0.7021630615640599	0.83	0.5656836461126006	0.33877551020408164	0.9254385964912281	0.528	0.0	0.534	0.0	0.7295303490070798	0.6486486486486487	0.7686832740213523	0.7894736842105263	0.6878980891719745	0.5504587155963303	0.8709677419354839	0.49	0.0	0.483	0.0	0.608125	0.28750000000000003	0.64375	0.9583333333333334	0.47685185185185186	0.16911764705882354	0.9903846153846154	0.396
multi-qa-mpnet-base-dot-v1_mask	4	0.637	0.0	0.644	0.0	0.767768365434039	0.5597345132743363	0.8612757058208436	0.4324786324786325	0.949289281598156	0.7931034482758621	0.7881977671451356	0.627	0.0	0.608	0.0	0.6904993158953259	0.4588744588744589	0.8180494905385736	0.32515337423312884	0.9493243243243243	0.7794117647058824	0.7186700767263428	0.633	0.0	0.616	0.0	0.7367346738763396	0.47169811320754723	0.845303867403315	0.36764705882352944	0.9216867469879518	0.6578947368421053	0.7806122448979592	0.612	0.0	0.593	0.0	0.6442666666666667	0.44799999999999995	0.7876923076923078	0.29473684210526313	0.9846153846153847	0.9333333333333333	0.6564102564102564	0.581	0.0	0.585	0.0	0.8473559547715979	0.5988023952095809	0.9139922978177151	0.5	0.9544235924932976	0.746268656716418	0.8768472906403941	0.591	0.0	0.602	0.0	0.7687895288765957	0.5811965811965812	0.8595988538681949	0.4473684210526316	0.9554140127388535	0.8292682926829268	0.78125	0.574	0.0	0.597	0.0	0.9263255813953487	0.64	0.958139534883721	0.6666666666666666	0.9537037037037037	0.6153846153846154	0.9626168224299065	0.396
